zipcode,number_of_returns,income
55430,4500,59551
55430,3980,144995
55430,1620,99249
55430,780,67756
55430,530,67625
55430,50,17161
,,
55431,"10,730","730,258"
55431,3120,36957
55431,2390,89266
55431,1680,105110
55431,1280,112353
55431,1910,258080
55431,350,128492
,,
55432,"16,270","853,081"
55432,5600,71980
55432,4640,170751
55432,2610,162033
55432,1540,134482
55432,1650,216345
55432,230,97490
,,
55433,"17,630","938,978"
55433,5760,72852
55433,4940,183507
55433,3000,185529
55433,1820,157395
55433,1880,242696
55433,230,96999
,,
55434,"15,330","844,094"
55434,4770,59629
55434,4040,151122
55434,2650,164806
55434,1720,150167
55434,1970,253947
55434,180,64423
,,
55435,"6,970","694,879"
55435,1810,20519
55435,1390,52587
55435,1190,74952
55435,760,66348
55435,1160,164447
55435,660,316026
,,
55436,"7,040","1,576,570"
55436,1680,16846
55436,920,34578
55436,800,50135
55436,610,53906
55436,1390,204398
55436,1640,1216707
,,
55437,"10,160","847,073"
55437,2800,33254
55437,2270,85751
55437,1530,96151
55437,1080,95595
55437,1860,258356
55437,620,277966
,,
55438,"9,350","957,471"
55438,2260,26576
55438,1910,72045
55438,1420,89050
55438,930,82219
55438,1870,265692
55438,960,421889
,,
55439,"4,600","1,028,280"
55439,1070,10673
55439,620,23409
55439,430,27486
55439,380,34128
55439,900,132507
55439,1200,800077
,,
55441,"9,670","899,420"
55441,2600,30695
55441,2210,82906
55441,1380,86210
55441,930,82230
55441,1740,244774
55441,810,372605
,,
55442,"7,080","700,510"
55442,1740,19283
55442,1280,48589
55442,970,60924
55442,720,64300
55442,1610,229980
55442,760,277434
,,
55443,"17,230","1,140,228"
55443,5550,68269
55443,4260,156091
55443,2200,136867
55443,1650,144583
55443,2820,387820
55443,750,246598
,,
55444,"8,570","455,636"
55444,2680,34245
55444,2530,93472
55444,1390,86312
55444,900,78383
55444,980,127939
55444,90,35285
,,
55445,"5,860","388,098"
55445,1700,20941
55445,1570,57873
55445,880,54705
55445,570,50275
55445,900,123281
55445,240,81023
,,
55446,"10,840","1,485,946"
55446,2400,23597
55446,1470,55720
55446,1260,80140
55446,970,85890
55446,2650,388425
55446,2090,852174
,,
55447,"10,950","1,201,751"
55447,2960,33054
55447,1960,74444
55447,1410,89449
55447,1050,92604
55447,2270,326046
55447,1300,586154
,,
55448,"14,800","916,587"
55448,4320,52471
55448,3630,135587
55448,2500,155581
55448,1740,152797
55448,2240,297655
55448,370,122496
,,
55449,"13,400","1,301,836"
55449,3160,35951
55449,2260,85482
55449,1920,120950
55449,1510,133739
55449,3380,472373
55449,1170,453341
,,
55454,"2,970","77,863"
55454,1970,25157
55454,710,24669
55454,160,9793
55454,60,5281
55454,70,12963
55454,**,**
,,
55455,130,"3,645"
55455,100,721
55455,30,2924
55455,**,**
55455,0,0
55455,**,**
55455,**,**
,,
55603,240,"10,503"
55603,100,1299
55603,60,2044
55603,30,2032
55603,20,1983
55603,30,3145
55603,**,**
,,
55604,"1,890","104,539"
55604,680,8657
55604,450,16948
55604,320,20901
55604,210,18267
55604,200,27704
55604,30,12062
,,
55605,350,"10,976"
55605,160,2116
55605,130,4418
55605,40,2286
55605,20,2156
55605,**,**
55605,**,**
,,
55606,140,"7,625"
55606,50,640
55606,40,1341
55606,30,2296
55606,**,**
55606,20,3348
55606,**,**
,,
55612,330,"16,077"
55612,140,1941
55612,70,2650
55612,40,2865
55612,40,3110
55612,40,5511
55612,**,**
,,
55613,100,"4,774"
55613,40,598
55613,40,1919
55613,**,**
55613,20,2257
55613,**,**
55613,**,**
,,
55614,"1,190","63,375"
55614,410,4950
55614,280,10451
55614,190,12171
55614,150,13389
55614,160,22414
55614,**,**
,,
55615,140,"7,879"
55615,40,487
55615,50,1778
55615,20,1484
55615,30,4130
55615,**,**
55615,**,**
,,
55616,"3,400","181,270"
55616,1230,15028
55616,780,28795
55616,520,32635
55616,400,34578
55616,420,55094
55616,50,15140
,,
55702,240,"13,886"
55702,70,750
55702,50,1690
55702,50,3333
55702,30,2450
55702,40,5663
55702,**,**
,,
55703,320,"16,754"
55703,100,1224
55703,70,2664
55703,70,4188
55703,40,3789
55703,40,4889
55703,**,**
,,
55704,510,"24,378"
55704,180,2252
55704,140,4892
55704,80,4953
55704,60,5325
55704,50,6956
55704,**,**
,,
55705,"1,470","74,868"
55705,530,6620
55705,360,13039
55705,230,14229
55705,180,15613
55705,150,19543
55705,20,5824
,,
55706,850,"39,330"
55706,340,4524
55706,220,8136
55706,110,6710
55706,90,8072
55706,90,11888
55706,**,**
,,
55707,"1,530","81,843"
55707,500,5991
55707,360,13576
55707,280,17447
55707,190,16924
55707,200,27905
55707,**,**
,,
55709,"1,840","94,180"
55709,660,8343
55709,420,15392
55709,330,20424
55709,200,17083
55709,210,27005
55709,20,5933
,,
55710,640,"42,058"
55710,190,2235
55710,120,4203
55710,90,6063
55710,100,9048
55710,140,20509
55710,**,**
,,
55711,220,"11,056"
55711,80,1093
55711,50,1858
55711,50,3278
55711,20,2094
55711,20,2733
55711,**,**
,,
55712,230,"10,112"
55712,90,965
55712,60,2389
55712,40,2179
55712,40,4579
55712,**,**
55712,**,**
,,
55717,160,"9,770"
55717,40,448
55717,30,1051
55717,30,1544
55717,30,2549
55717,30,4178
55717,**,**
,,
55718,"1,520","87,615"
55718,480,5951
55718,350,12865
55718,250,15406
55718,190,16638
55718,220,27886
55718,30,8869
,,
55719,"2,630","126,075"
55719,1010,12209
55719,660,24093
55719,400,24917
55719,280,24730
55719,250,31442
55719,30,8684
,,
55720,"7,940","425,307"
55720,2810,36288
55720,2060,74845
55720,1290,80287
55720,840,73645
55720,830,108289
55720,110,51953
,,
55721,"1,650","114,863"
55721,530,6439
55721,320,11759
55721,260,16311
55721,220,19388
55721,260,34209
55721,60,26757
,,
55723,"1,160","67,994"
55723,410,5350
55723,280,10450
55723,170,10402
55723,130,11640
55723,140,18510
55723,30,11642
,,
55724,350,"19,466"
55724,110,1331
55724,80,3185
55724,70,4020
55724,40,3829
55724,50,7101
55724,**,**
,,
55726,440,"22,812"
55726,150,1911
55726,100,3513
55726,80,4742
55726,50,4126
55726,60,8520
55726,**,**
,,
55731,"2,770","141,526"
55731,1110,13332
55731,630,23055
55731,430,26672
55731,270,24055
55731,270,35340
55731,60,19072
,,
55732,690,"34,639"
55732,230,2988
55732,170,6082
55732,110,7189
55732,110,9770
55732,70,8610
55732,**,**
,,
55733,"2,300","162,288"
55733,610,7057
55733,420,15687
55733,400,24669
55733,340,30206
55733,470,61906
55733,60,22763
,,
55734,"3,010","161,842"
55734,1050,13373
55734,700,25637
55734,460,29314
55734,360,30904
55734,400,51077
55734,40,11537
,,
55735,800,"37,408"
55735,290,3825
55735,230,8469
55735,130,7927
55735,80,7001
55735,70,10186
55735,**,**
,,
55736,690,"30,785"
55736,270,3542
55736,180,6576
55736,110,6899
55736,80,7268
55736,50,6500
55736,**,**
,,
55738,250,"13,762"
55738,80,1173
55738,50,1892
55738,50,3075
55738,40,3605
55738,30,4017
55738,**,**
,,
55741,"1,540","86,550"
55741,480,6136
55741,350,12881
55741,270,17087
55741,230,20034
55741,210,30412
55741,**,**
,,
55742,150,"8,887"
55742,40,429
55742,30,1097
55742,50,3751
55742,**,**
55742,30,3610
55742,**,**
,,
55744,"9,470","539,176"
55744,3590,44491
55744,2000,73689
55744,1400,88147
55744,1070,93910
55744,1220,160031
55744,190,78908
,,
55746,"8,000","413,006"
55746,3080,38107
55746,1880,68201
55746,1180,74022
55746,910,79545
55746,830,106368
55746,120,46763
,,
55748,610,"28,399"
55748,240,3159
55748,160,5881
55748,90,5722
55748,60,5459
55748,60,8178
55748,**,**
,,
55749,210,"9,964"
55749,60,797
55749,60,2101
55749,40,2441
55749,50,4625
55749,**,**
55749,**,**
,,
55750,900,"42,359"
55750,340,4586
55750,230,8266
55750,130,8189
55750,100,8786
55750,100,12532
55750,**,**
,,
55751,720,"37,901"
55751,220,2926
55751,160,5887
55751,140,8532
55751,100,8312
55751,100,12244
55751,**,**
,,
55752,200,"10,181"
55752,60,704
55752,60,2283
55752,40,2492
55752,40,4702
55752,**,**
55752,**,**
,,
55756,180,"8,416"
55756,70,786
55756,40,1554
55756,40,2664
55756,30,3412
55756,**,**
55756,**,**
,,
55757,370,"16,114"
55757,150,1873
55757,100,3513
55757,60,3881
55757,30,2724
55757,30,4123
55757,**,**
,,
55760,"1,290","61,235"
55760,530,6639
55760,350,12624
55760,170,10364
55760,110,10054
55760,130,21554
55760,**,**
,,
55763,260,"14,504"
55763,80,1031
55763,60,2365
55763,50,3134
55763,40,3679
55763,30,4295
55763,**,**
,,
55765,350,"16,570"
55765,130,1786
55765,80,2944
55765,60,3589
55765,50,4121
55765,30,4130
55765,**,**
,,
55767,"1,780","81,167"
55767,770,7445
55767,420,15741
55767,250,15498
55767,170,14580
55767,150,20692
55767,20,7211
,,
55768,"1,380","79,675"
55768,470,5630
55768,280,10442
55768,200,12830
55768,190,16448
55768,210,25791
55768,30,8534
,,
55769,"1,070","51,575"
55769,400,4977
55769,280,10107
55769,150,9470
55769,120,10884
55769,120,16137
55769,**,**
,,
55771,730,"32,497"
55771,320,3924
55771,180,6476
55771,110,6860
55771,60,5555
55771,60,9682
55771,**,**
,,
55775,590,"35,856"
55775,180,2399
55775,130,4878
55775,100,6395
55775,80,6873
55775,100,15311
55775,**,**
,,
55779,"1,910","126,862"
55779,570,6856
55779,390,14546
55779,350,22022
55779,240,20837
55779,310,40208
55779,50,22393
,,
55780,100,"5,526"
55780,40,521
55780,40,2009
55780,**,**
55780,20,2996
55780,**,**
55780,**,**
,,
55781,380,"27,328"
55781,90,1224
55781,70,2461
55781,70,4041
55781,50,4002
55781,100,15600
55781,**,**
,,
55783,"1,130","60,901"
55783,400,5197
55783,280,10535
55783,190,11820
55783,130,11095
55783,130,22254
55783,**,**
,,
55785,120,"4,668"
55785,60,866
55785,30,1061
55785,30,2741
55785,**,**
55785,**,**
55785,**,**
,,
55787,210,"9,342"
55787,80,1138
55787,60,2061
55787,30,2208
55787,40,3935
55787,**,**
55787,**,**
,,
55790,990,"58,776"
55790,320,4045
55790,230,8149
55790,160,10058
55790,120,10319
55790,130,16731
55790,30,9474
,,
55792,"4,720","229,522"
55792,1880,23101
55792,1180,42753
55792,700,44303
55792,500,43486
55792,400,51231
55792,60,24648
,,
55793,280,"14,463"
55793,100,1388
55793,60,2161
55793,60,3622
55793,30,2595
55793,30,4697
55793,**,**
,,
55795,650,"31,096"
55795,250,3114
55795,180,6794
55795,100,6648
55795,60,5597
55795,60,8943
55795,**,**
,,
55797,730,"40,988"
55797,220,2753
55797,180,6882
55797,130,8196
55797,90,7703
55797,110,15454
55797,**,**
,,
55798,270,"13,265"
55798,100,1279
55798,60,2161
55798,50,3214
55798,30,2881
55798,30,3730
55798,**,**
,,
55802,"1,160","103,364"
55802,480,4946
55802,260,9576
55802,120,7480
55802,110,9207
55802,130,18555
55802,60,53600
,,
55803,"8,770","704,453"
55803,2560,30589
55803,1660,62157
55803,1410,88969
55803,1110,97943
55803,1580,212436
55803,450,212359
,,
55804,"7,450","613,110"
55804,2070,23956
55804,1510,56689
55804,1180,74403
55804,950,83201
55804,1290,173908
55804,450,200953
,,
55805,"4,420","156,550"
55805,2270,29879
55805,1270,45081
55805,490,30493
55805,190,16887
55805,170,21782
55805,30,12428
,,
55806,"4,370","163,608"
55806,2100,28055
55806,1340,48092
55806,520,31569
55806,210,18659
55806,160,21859
55806,40,15374
,,
55807,"4,870","205,103"
55807,1910,24920
55807,1500,54745
55807,730,45437
55807,430,36860
55807,270,33521
55807,30,9620
,,
55808,"2,750","119,215"
55808,1100,14811
55808,800,29081
55808,390,24372
55808,270,23538
55808,190,27413
55808,**,**
,,
55810,"4,300","250,527"
55810,1330,17318
55810,1070,39681
55810,710,44399
55810,530,46526
55810,590,76798
55810,70,25805
,,
55811,"12,460","872,403"
55811,3990,48984
55811,2740,101364
55811,1950,121649
55811,1410,123577
55811,1880,250766
55811,490,226063
,,
55812,"3,710","254,599"
55812,1570,19711
55812,820,29436
55812,390,24241
55812,280,25191
55812,440,60715
55812,210,95305
,,
55901,"27,890","1,808,798"
55901,8420,101428
55901,6520,242483
55901,4440,276820
55901,3070,269836
55901,4570,613081
55901,870,305150
,,
55902,"12,020","1,460,319"
55902,3090,34085
55902,2120,78838
55902,1560,97013
55902,1130,100142
55902,2300,322362
55902,1820,827879
,,
55904,"13,100","664,668"
55904,4820,60694
55904,3610,132514
55904,1850,116081
55904,1230,107210
55904,1420,186737
55904,170,61432
,,
55906,"9,490","776,422"
55906,2990,33786
55906,1890,69241
55906,1220,76363
55906,860,75867
55906,1820,255562
55906,710,265603
,,
55909,640,"38,441"
55909,230,2752
55909,140,5416
55909,100,6131
55909,70,6161
55909,100,17981
55909,**,**
,,
55910,690,"37,490"
55910,220,2961
55910,200,7541
55910,110,7336
55910,90,8144
55910,70,11508
55910,**,**
,,
55912,"13,820","807,989"
55912,5150,63455
55912,4100,148800
55912,1890,117666
55912,1170,102218
55912,1200,158814
55912,310,217036
,,
55917,"1,680","97,977"
55917,520,6543
55917,400,14613
55917,280,17653
55917,210,18107
55917,240,30913
55917,30,10148
,,
55918,460,"25,988"
55918,150,1763
55918,110,4257
55918,80,4950
55918,60,5346
55918,60,9672
55918,**,**
,,
55919,470,"29,540"
55919,150,1798
55919,100,3693
55919,90,5805
55919,50,4728
55919,80,13516
55919,**,**
,,
55920,"3,750","294,506"
55920,1040,11677
55920,730,26910
55920,510,32357
55920,460,40455
55920,830,111396
55920,180,71711
,,
55921,"2,340","123,032"
55921,890,10503
55921,560,20866
55921,350,22329
55921,260,23142
55921,240,31150
55921,40,15042
,,
55922,270,"12,145"
55922,90,1155
55922,90,3405
55922,40,2683
55922,30,2317
55922,20,2585
55922,0,0
,,
55923,"2,170","139,549"
55923,680,7969
55923,520,19537
55923,270,17089
55923,300,26129
55923,330,43196
55923,70,25629
,,
55924,660,"36,058"
55924,220,2776
55924,170,6039
55924,110,6601
55924,70,6351
55924,90,14291
55924,**,**
,,
55925,540,"30,823"
55925,160,2063
55925,130,5056
55925,110,7102
55925,70,6570
55925,70,10032
55925,**,**
,,
55926,390,"23,470"
55926,130,1462
55926,80,3091
55926,70,4197
55926,40,3288
55926,70,11432
55926,**,**
,,
55927,"2,020","125,246"
55927,600,6982
55927,510,19015
55927,340,21188
55927,260,23118
55927,260,33848
55927,50,21095
,,
55929,570,"33,978"
55929,140,1756
55929,140,5510
55929,120,7116
55929,80,6968
55929,90,12628
55929,**,**
,,
55931,170,"10,583"
55931,50,623
55931,60,2230
55931,40,2865
55931,**,**
55931,20,4865
55931,**,**
,,
55932,"1,000","65,415"
55932,300,4002
55932,230,8610
55932,150,9679
55932,120,10788
55932,180,24293
55932,20,8043
,,
55933,120,"6,582"
55933,40,423
55933,50,1991
55933,**,**
55933,30,4168
55933,**,**
55933,**,**
,,
55934,"1,670","106,172"
55934,490,6077
55934,350,13040
55934,260,16141
55934,220,19277
55934,320,41385
55934,30,10252
,,
55935,430,"24,304"
55935,140,1704
55935,110,4168
55935,60,3961
55935,50,4097
55935,70,10374
55935,**,**
,,
55936,920,"52,957"
55936,310,3935
55936,220,8633
55936,150,9111
55936,100,8966
55936,140,22312
55936,**,**
,,
55939,850,"43,145"
55939,320,3770
55939,210,8084
55939,140,9049
55939,110,9404
55939,70,12838
55939,**,**
,,
55940,"1,210","70,760"
55940,380,4278
55940,300,11390
55940,180,11298
55940,150,13240
55940,180,23697
55940,20,6857
,,
55941,540,"27,473"
55941,200,2386
55941,120,4395
55941,90,5588
55941,60,5245
55941,70,9859
55941,**,**
,,
55943,"1,450","77,133"
55943,490,6336
55943,370,13719
55943,270,17323
55943,160,14306
55943,140,18939
55943,20,6510
,,
55944,"3,680","215,581"
55944,1150,12733
55944,850,31908
55944,540,33994
55944,440,38486
55944,650,84978
55944,50,13482
,,
55945,720,"39,489"
55945,250,3100
55945,190,7112
55945,120,7254
55945,70,6552
55945,90,15471
55945,**,**
,,
55946,"1,570","88,689"
55946,490,6212
55946,400,15050
55946,290,18280
55946,180,15813
55946,180,24879
55946,30,8455
,,
55947,"3,800","271,072"
55947,1220,13923
55947,790,29332
55947,590,37423
55947,450,39764
55947,600,80192
55947,150,70438
,,
55949,870,"45,554"
55949,320,3861
55949,200,7395
55949,140,8998
55949,90,8020
55949,120,17280
55949,**,**
,,
55951,700,"37,795"
55951,230,2806
55951,190,7312
55951,120,7610
55951,70,5900
55951,90,14167
55951,**,**
,,
55952,"1,170","67,274"
55952,370,4557
55952,310,11612
55952,170,10498
55952,150,13143
55952,140,19034
55952,30,8430
,,
55953,390,"20,841"
55953,110,1388
55953,100,3822
55953,80,4697
55953,60,5171
55953,40,5763
55953,**,**
,,
55954,670,"31,369"
55954,240,3248
55954,190,7138
55954,120,7521
55954,60,4854
55954,60,8608
55954,**,**
,,
55955,"1,360","102,273"
55955,440,4487
55955,220,8549
55955,160,10209
55955,150,13570
55955,320,45087
55955,70,20371
,,
55956,950,"58,769"
55956,280,3417
55956,220,8049
55956,150,9469
55956,120,10320
55956,160,20905
55956,20,6609
,,
55957,360,"21,064"
55957,120,1488
55957,80,3078
55957,60,3730
55957,50,4713
55957,50,8055
55957,**,**
,,
55959,"1,060","56,845"
55959,350,4267
55959,280,10291
55959,170,10907
55959,120,10788
55959,120,15202
55959,20,5390
,,
55960,"1,570","136,746"
55960,450,5283
55960,240,8957
55960,180,11049
55960,170,14799
55960,410,57711
55960,120,38947
,,
55961,190,"9,458"
55961,60,662
55961,50,1716
55961,30,1611
55961,30,2321
55961,20,3148
55961,**,**
,,
55962,340,"18,650"
55962,110,1489
55962,90,3402
55962,50,3281
55962,40,3307
55962,50,7171
55962,**,**
,,
55963,"2,590","178,394"
55963,760,9078
55963,530,20054
55963,360,23062
55963,350,30859
55963,510,67392
55963,80,27949
,,
55964,"2,280","125,676"
55964,800,9726
55964,520,19760
55964,370,23389
55964,260,22670
55964,290,37556
55964,40,12575
,,
55965,"1,100","62,746"
55965,360,4420
55965,290,10574
55965,190,11893
55965,110,10085
55965,130,17418
55965,20,8356
,,
55967,460,"29,462"
55967,120,1491
55967,110,4050
55967,70,4123
55967,60,5416
55967,100,14382
55967,**,**
,,
55969,520,"29,923"
55969,150,1727
55969,130,5052
55969,80,5254
55969,70,5792
55969,90,12098
55969,**,**
,,
55970,430,"24,806"
55970,120,1462
55970,110,3847
55970,80,4934
55970,40,3168
55970,80,11395
55970,**,**
,,
55971,"1,490","78,639"
55971,520,6266
55971,370,13687
55971,250,15792
55971,170,15261
55971,150,19885
55971,30,7748
,,
55972,"2,330","140,281"
55972,740,9182
55972,540,20006
55972,370,23236
55972,280,24736
55972,350,45519
55972,50,17602
,,
55973,130,"6,649"
55973,40,494
55973,40,1348
55973,20,1539
55973,30,3268
55973,**,**
55973,**,**
,,
55974,970,"48,066"
55974,350,4596
55974,260,9431
55974,170,10524
55974,110,10115
55974,80,13400
55974,**,**
,,
55975,"2,010","118,810"
55975,680,8615
55975,520,19625
55975,300,18844
55975,210,18819
55975,260,34142
55975,40,18765
,,
55976,"3,910","231,375"
55976,1310,15240
55976,890,32824
55976,560,35477
55976,450,39723
55976,630,82825
55976,70,25286
,,
55979,420,"22,435"
55979,130,1851
55979,130,4602
55979,80,5153
55979,40,3822
55979,40,7007
55979,**,**
,,
55981,"2,040","119,025"
55981,730,8349
55981,480,17525
55981,310,19196
55981,230,19815
55981,220,28672
55981,70,25468
,,
55982,210,"10,853"
55982,70,924
55982,50,1955
55982,60,4165
55982,**,**
55982,30,3809
55982,**,**
,,
55983,730,"41,493"
55983,230,2732
55983,160,5881
55983,140,8835
55983,80,7282
55983,120,16763
55983,**,**
,,
55985,900,"50,450"
55985,290,3654
55985,230,8517
55985,160,9680
55985,100,9174
55985,120,19425
55985,**,**
,,
55987,"15,110","889,970"
55987,5750,69055
55987,3890,143089
55987,2110,131841
55987,1440,125906
55987,1530,200203
55987,390,219876
,,
55990,450,"22,352"
55990,170,2138
55990,110,4225
55990,70,4573
55990,50,4434
55990,50,6982
55990,**,**
,,
55991,640,"44,823"
55991,200,2649
55991,120,4479
55991,80,4948
55991,90,7471
55991,130,17582
55991,20,7694
,,
55992,"2,390","154,478"
55992,740,8810
55992,530,20300
55992,360,22771
55992,280,24552
55992,410,55127
55992,70,22918
,,
56001,"21,200","1,179,853"
56001,9080,107994
56001,5030,184860
56001,2600,161941
56001,1840,161906
56001,2080,275422
56001,570,287730
,,
56003,"7,560","501,880"
56003,2490,29483
56003,1770,65435
56003,1080,68030
56003,800,70053
56003,1160,154286
56003,260,114593
,,
56007,"10,240","534,714"
56007,4020,47912
56007,2820,102768
56007,1400,87466
56007,910,79983
56007,860,112264
56007,230,104321
,,
56009,750,"41,159"
56009,240,2959
56009,180,6692
56009,140,8619
56009,90,7851
56009,100,15038
56009,**,**
,,
56010,540,"32,762"
56010,180,2293
56010,120,4620
56010,100,6446
56010,60,5410
56010,80,13993
56010,**,**
,,
56011,"4,380","280,409"
56011,1190,13585
56011,1010,37891
56011,750,47148
56011,580,51526
56011,750,98541
56011,100,31718
,,
56013,"2,190","121,290"
56013,810,9554
56013,520,19142
56013,350,22123
56013,230,20398
56013,230,32054
56013,50,18019
,,
56014,340,"16,926"
56014,130,1643
56014,80,3008
56014,50,3491
56014,40,3034
56014,40,5750
56014,**,**
,,
56016,480,"26,642"
56016,140,1692
56016,160,5829
56016,80,5099
56016,50,4039
56016,50,9983
56016,**,**
,,
56017,820,"56,685"
56017,220,2469
56017,170,6286
56017,130,8064
56017,120,10446
56017,150,19639
56017,30,9781
,,
56019,430,"22,512"
56019,150,1893
56019,100,3938
56019,80,5271
56019,50,4525
56019,50,6885
56019,**,**
,,
56021,530,"33,568"
56021,140,1630
56021,120,4627
56021,100,6386
56021,90,8093
56021,80,12832
56021,**,**
,,
56023,230,"11,042"
56023,80,1066
56023,70,2800
56023,40,2330
56023,40,4846
56023,**,**
56023,**,**
,,
56024,"1,580","88,882"
56024,510,6127
56024,380,14329
56024,250,15481
56024,210,18086
56024,210,27091
56024,20,7768
,,
56025,260,"15,355"
56025,70,878
56025,70,2501
56025,50,3033
56025,30,2695
56025,40,6248
56025,**,**
,,
56026,960,"59,655"
56026,300,3658
56026,240,9350
56026,160,10265
56026,120,10028
56026,120,16581
56026,20,9773
,,
56027,370,"16,755"
56027,160,1951
56027,100,3586
56027,70,4885
56027,**,**
56027,40,6333
56027,**,**
,,
56028,640,"45,633"
56028,190,2152
56028,140,5260
56028,100,6010
56028,90,7779
56028,100,13655
56028,20,10777
,,
56029,320,"16,925"
56029,90,1043
56029,100,3936
56029,60,3741
56029,40,3609
56029,30,4596
56029,**,**
,,
56031,"6,240","362,018"
56031,2490,27889
56031,1490,54575
56031,880,56166
56031,570,49665
56031,630,85207
56031,180,88516
,,
56033,150,"9,660"
56033,40,655
56033,40,1585
56033,40,2768
56033,**,**
56033,30,4652
56033,**,**
,,
56034,260,"14,991"
56034,70,826
56034,70,2629
56034,50,3065
56034,30,2960
56034,40,5511
56034,**,**
,,
56036,950,"50,232"
56036,320,4056
56036,260,9433
56036,170,10705
56036,90,7526
56036,110,18512
56036,**,**
,,
56037,750,"50,735"
56037,220,2837
56037,170,6266
56037,120,7941
56037,110,9406
56037,100,14475
56037,30,9810
,,
56039,490,"28,652"
56039,170,2128
56039,100,3658
56039,100,6642
56039,50,4295
56039,70,11929
56039,**,**
,,
56041,570,"31,678"
56041,170,2269
56041,160,5950
56041,100,6495
56041,70,5819
56041,70,11145
56041,**,**
,,
56042,320,"19,549"
56042,100,1292
56042,90,3568
56042,50,3360
56042,40,3736
56042,40,7593
56042,**,**
,,
56043,270,"14,058"
56043,100,1205
56043,60,2227
56043,50,2795
56043,30,2717
56043,30,5114
56043,**,**
,,
56044,"1,030","62,684"
56044,310,3291
56044,260,9973
56044,160,10384
56044,130,11590
56044,150,19458
56044,20,7988
,,
56045,370,"23,115"
56045,110,1351
56045,100,3565
56045,70,4226
56045,30,2778
56045,60,11195
56045,**,**
,,
56048,"1,970","112,722"
56048,600,6995
56048,500,18160
56048,350,22269
56048,250,21547
56048,230,30236
56048,40,13515
,,
56050,760,"54,601"
56050,250,2829
56050,170,6130
56050,110,6836
56050,90,7591
56050,120,15643
56050,20,15572
,,
56051,320,"13,175"
56051,130,1496
56051,90,3540
56051,60,4319
56051,40,3820
56051,**,**
56051,**,**
,,
56052,390,"20,669"
56052,130,1530
56052,90,3432
56052,70,4457
56052,50,4120
56052,50,7130
56052,**,**
,,
56054,460,"25,928"
56054,140,1952
56054,130,5023
56054,80,4818
56054,60,5474
56054,50,8661
56054,**,**
,,
56055,"1,930","124,999"
56055,600,6971
56055,440,16672
56055,330,20769
56055,260,22657
56055,250,33411
56055,50,24519
,,
56057,"1,850","105,615"
56057,590,7068
56057,490,17816
56057,280,17165
56057,220,19316
56057,240,31931
56057,30,12319
,,
56058,"3,100","172,135"
56058,1040,12107
56058,800,29515
56058,470,29283
56058,360,31227
56058,360,47617
56058,70,22386
,,
56060,210,"12,225"
56060,80,859
56060,50,2097
56060,40,2695
56060,20,2377
56060,20,4197
56060,**,**
,,
56062,"1,570","82,443"
56062,580,6698
56062,420,15503
56062,260,16236
56062,140,12386
56062,140,19021
56062,30,12599
,,
56063,"1,410","119,450"
56063,390,4814
56063,300,11180
56063,200,12497
56063,160,14406
56063,250,32795
56063,110,43758
,,
56065,"1,320","74,009"
56065,450,5355
56065,340,12747
56065,210,13584
56065,140,12834
56065,150,19246
56065,30,10243
,,
56068,540,"29,323"
56068,190,2524
56068,150,5758
56068,80,5030
56068,60,5171
56068,60,10840
56068,**,**
,,
56069,"2,340","123,483"
56069,770,9344
56069,600,22031
56069,430,26836
56069,260,22727
56069,250,32045
56069,30,10500
,,
56071,"5,900","419,804"
56071,1830,19818
56071,1170,43861
56071,840,53363
56071,710,62868
56071,1100,149502
56071,250,90392
,,
56072,"1,110","64,111"
56072,360,4717
56072,290,10877
56072,180,11069
56072,140,12726
56072,120,17046
56072,20,7676
,,
56073,"8,660","487,127"
56073,2980,35821
56073,2210,83372
56073,1400,88037
56073,970,85410
56073,880,115615
56073,220,78872
,,
56074,990,"71,543"
56074,270,3111
56074,240,9061
56074,160,10290
56074,140,11958
56074,150,20520
56074,30,16603
,,
56078,230,"11,957"
56078,70,922
56078,60,2161
56078,40,2535
56078,40,3693
56078,20,2646
56078,**,**
,,
56081,"2,920","146,371"
56081,1040,12895
56081,870,31896
56081,400,25416
56081,300,26157
56081,260,35006
56081,50,15001
,,
56082,"5,740","369,743"
56082,2070,22894
56082,1310,48820
56082,860,54349
56082,650,57699
56082,710,93978
56082,140,92003
,,
56083,430,"25,535"
56083,160,1902
56083,110,4196
56083,60,3629
56083,50,4780
56083,50,11028
56083,**,**
,,
56085,"2,740","171,821"
56085,980,11776
56085,690,26146
56085,400,25083
56085,320,28674
56085,280,37742
56085,70,42400
,,
56087,"1,470","81,391"
56087,500,5947
56087,390,14657
56087,230,14369
56087,150,13812
56087,160,20844
56087,40,11762
,,
56088,980,"52,149"
56088,370,4399
56088,240,9014
56088,150,9664
56088,110,9952
56088,110,19120
56088,**,**
,,
56090,310,"16,273"
56090,110,1213
56090,70,2729
56090,60,3685
56090,30,2330
56090,40,6316
56090,**,**
,,
56091,160,"7,831"
56091,60,746
56091,50,1934
56091,20,1372
56091,30,3779
56091,**,**
56091,**,**
,,
56093,"5,890","308,011"
56093,2130,25342
56093,1530,56688
56093,910,56897
56093,620,54472
56093,600,77758
56093,100,36854
,,
56096,"1,430","78,418"
56096,490,5936
56096,350,12840
56096,250,15640
56096,170,15369
56096,140,18604
56096,30,10029
,,
56097,"1,740","84,571"
56097,680,7906
56097,420,15602
